,Média,Desvio Padrão
par_12_10000.time,0.11739888938,0.0019933830836906586
par_12_15000.time,0.2242620216,0.002085445743628436
par_12_20000.time,0.3709220011,0.002654241800533005
par_12_25000.time,0.53855471194,0.0025485426931089257
par_12_30000.time,0.75858212326,0.003229596219295792
par_12_35000.time,0.98770106456,0.007063895337032528
par_12_40000.time,1.28709486622,0.004978482232931284
par_12_45000.time,1.56976398172,0.004959021177716927
par_12_5000.time,0.04126341212,0.0009375945783515986
par_12_50000.time,1.94695077712,0.004954983531903217
par_12_55000.time,2.28749110768,0.006345783158889637
par_12_60000.time,2.74637827454,0.006403576946628689
par_12_65000.time,3.14419740196,0.016055348075968836
par_1_10000.time,0.2163081075,0.00261886814084776
par_1_15000.time,0.46637167436,0.001972669275227761
par_1_20000.time,0.81946620874,0.002093854630213377
par_1_25000.time,1.25761081952,0.0062201017260725315
par_1_30000.time,1.8084382188800001,0.00658249211212831
par_1_35000.time,2.4298159759,0.0067726634870586755
par_1_40000.time,3.18395374202,0.00529857241829894
par_1_45000.time,3.9882931106,0.007819564400881445
par_1_5000.time,0.06138323166,0.0024794986379872933
par_1_50000.time,4.94754485356,0.01223075580034408
par_1_55000.time,5.93239748722,0.016244044256579812
par_1_60000.time,7.09229117094,0.011816927214636607
par_1_65000.time,8.26375201986,0.015706656363703657
par_2_10000.time,0.15394513514,0.002051591743406428
par_2_15000.time,0.31555787512,0.0023694025418604207
par_2_20000.time,0.54114008792,0.002259271221442602
par_2_25000.time,0.81483623124,0.0029915027021256238
par_2_30000.time,1.16185130392,0.004238406473064129
par_2_35000.time,1.54304558654,0.004116820167231296
par_2_40000.time,2.0159525290799998,0.003918694213760288
par_2_45000.time,2.50800210204,0.007218841925490921
par_2_5000.time,0.0504177237,0.0024283358458893436
par_2_50000.time,3.11164202796,0.005351021815047113
par_2_55000.time,3.70280507076,0.009576477239508899
par_2_60000.time,4.43629696516,0.008674396418313569
par_2_65000.time,5.12857693402,0.006344466057438278
par_3_10000.time,0.13190659468,0.0036990864195584955
par_3_15000.time,0.26365932906,0.005215418734703419
par_3_20000.time,0.44626103842,0.006387114651055151
par_3_25000.time,0.66349487266,0.011600376916332112
par_3_30000.time,0.93995608266,0.013394675678079922
par_3_35000.time,1.2349409001,0.007655832307838499
par_3_40000.time,1.61988749394,0.010802751399254027
par_3_45000.time,2.00184553316,0.012060474594859988
par_3_5000.time,0.04362490958,0.0018978249422175982
par_3_50000.time,2.48314353942,0.013027805022351055
par_3_55000.time,2.9393745991999998,0.009179945507388178
par_3_60000.time,3.53830682266,0.014648208658406107
par_3_65000.time,4.07618719392,0.013684994934041067
par_6_10000.time,0.1100056319,0.0023399440277371386
par_6_15000.time,0.21610601672,0.0035423571552193204
par_6_20000.time,0.35793033502,0.00494444159232242
par_6_25000.time,0.52326565486,0.006219489443885175
par_6_30000.time,0.73996389088,0.010283173003625534
par_6_35000.time,0.96770826824,0.011147208355096963
par_6_40000.time,1.26104934586,0.009255724811306473
par_6_45000.time,1.5497346571,0.017881776125245736
par_6_5000.time,0.03985251814,0.002323608902819878
par_6_50000.time,1.9171181719000001,0.012723266587780821
par_6_55000.time,2.25889389524,0.022461885870364105
par_6_60000.time,2.72337103506,0.03160468716881693
par_6_65000.time,3.10972201352,0.0175879545429621
par_9_10000.time,0.12006759702,0.0016453228775512884
par_9_15000.time,0.23431538156,0.002520627045606199
par_9_20000.time,0.39147313106,0.002933960954468234
par_9_25000.time,0.57344126708,0.003428890073977913
par_9_30000.time,0.81213516436,0.0032379304006472797
par_9_35000.time,1.06406308824,0.0033563582841348136
par_9_40000.time,1.3866159883,0.003863407467068405
par_9_45000.time,1.70466482916,0.005172534578481739
par_9_5000.time,0.04059084996,0.0010164424608069581
par_9_50000.time,2.116027037,0.0053818221513026844
par_9_55000.time,2.49321981556,0.0069943181383160325
par_9_60000.time,2.99775465604,0.008021258387962324
par_9_65000.time,3.4353873651,0.0067527990936367905
seq_10000.time,0.26567789332,0.0020355042389369115
seq_15000.time,0.58912879976,0.002551363961880839
seq_20000.time,1.0379381897,0.0020622844725385427
seq_25000.time,1.60945060538,0.002634332777697992
seq_30000.time,2.30530503428,0.002796164114990524
seq_35000.time,3.1289259375,0.0037809365076552355
seq_40000.time,4.07804823688,0.004528162466125927
seq_45000.time,5.15050867956,0.004212703541780354
seq_5000.time,0.06993113036,0.0020855379180479126
seq_50000.time,6.34973102882,0.005129879507918132
seq_55000.time,7.67302571724,0.005869086974452273
seq_60000.time,9.12428692348,0.006191005547925033
seq_65000.time,10.6989014154,0.0071217747705883475
